symbol,side,entry_price,exit_price,entry_time,exit_time,exit_reason,size_usd,leverage,stop_loss,take_profit,pnl_usd,pnl_pct,outcome,hold_hours,p2_score,p2_grade
BSBUSDT,LONG,0.8709,0.78207,2026-04-29T14:59:19.454523,2026-04-29T18:16:11.282490,SL_HIT,100,2,0.78381,1.088625,-20.39958663451601,-20.39958663451601,LOSS,3.2810633241666665,61,WEAK
HUSDT,LONG,0.17972,0.1792,2026-04-29T14:59:13.823814,2026-04-29T19:01:37.854163,MAX_HOLD,100,2,0.161748,0.22465,-0.5786779434676083,-0.5786779434676083,LOSS,4.040008430277778,56,WEAK
BIOUSDT,SHORT,0.0327,0.03251,2026-04-29T14:59:16.504551,2026-04-29T19:01:37.859591,MAX_HOLD,100,2,0.03597,0.024524999999999998,1.1620795107033801,1.1620795107033801,WIN,4.039265288888889,75,VALID
ZEREBROUSDT,LONG,0.02148,0.023268,2026-04-29T14:59:21.069932,2026-04-29T19:01:37.863844,MAX_HOLD,100,2,0.019332,0.02685,16.648044692737443,16.648044692737443,WIN,4.037998308888889,65,WEAK
GWEIUSDT,LONG,0.10547,0.09426,2026-04-29T19:15:42.403614,2026-04-29T20:16:09.684301,SL_HIT,100,2,0.094923,0.1318375,-21.257229543946142,-21.257229543946142,LOSS,1.007577968611111,55,WEAK
JCTUSDT,LONG,0.003804,0.00339,2026-04-29T19:15:37.003089,2026-04-29T20:46:28.167223,SL_HIT,100,2,0.0034236,0.0047550000000000005,-21.766561514195597,-21.766561514195597,LOSS,1.5142122594444443,60,WEAK
SKYAIUSDT,SHORT,0.23183,0.26126,2026-04-29T21:01:39.876453,2026-04-29T22:17:19.561971,SL_HIT,100,2,0.25501300000000005,0.1738725,-25.38929387913556,-25.38929387913556,LOSS,1.261023755,61,WEAK
AIOTUSDT,LONG,0.09673,0.12158,2026-04-29T21:01:38.290273,2026-04-29T23:02:47.308161,TP_HIT,100,2,0.087057,0.12091249999999999,51.380130259485156,51.380130259485156,WIN,2.019171635555556,66,WEAK
ZEREBROUSDT,LONG,0.023678,0.024717,2026-04-29T19:15:38.666968,2026-04-29T23:17:57.145912,MAX_HOLD,100,2,0.0213102,0.029597500000000002,8.776079060731465,8.776079060731465,WIN,4.038466373333334,55,WEAK
TACUSDT,LONG,0.015835,0.017013,2026-04-29T19:15:44.567595,2026-04-29T23:17:57.150621,MAX_HOLD,100,2,0.014251499999999999,0.01979375,14.878433849068545,14.878433849068545,WIN,4.036828618333334,60,WEAK
SKYAIUSDT,LONG,0.26086,0.23248,2026-04-29T22:17:23.808429,2026-04-29T23:17:57.154447,SL_HIT,100,2,0.23477399999999998,0.326075,-21.75879782258682,-21.75879782258682,LOSS,1.0092627827777778,57,WEAK
NAORISUSDT,LONG,0.11283,0.11013,2026-04-29T19:45:59.386318,2026-04-29T23:48:14.824447,MAX_HOLD,100,2,0.101547,0.1410375,-4.785961180537081,-4.785961180537081,LOSS,4.0376217025,60,WEAK
SOLVUSDT,LONG,0.004773,0.004905,2026-04-29T20:31:20.036082,2026-04-30T00:33:40.245393,MAX_HOLD,100,2,0.0042957,0.00596625,5.5311125078566645,5.5311125078566645,WIN,4.0389470308333335,60,WEAK
UBUSDT,LONG,0.06542,0.06606,2026-04-29T20:31:24.361177,2026-04-30T00:33:40.251068,MAX_HOLD,100,2,0.05887800000000001,0.08177500000000001,1.9565881993273853,1.9565881993273853,WIN,4.037747191944445,57,WEAK
DOTUSDT,LONG,1.228,1.185,2026-04-29T21:32:02.147847,2026-04-30T01:34:12.376236,MAX_HOLD,100,2,1.1052,1.535,-7.003257328990216,-7.003257328990216,LOSS,4.0361745525,60,WEAK
LUMIAUSDT,LONG,0.20879,0.18481,2026-04-29T23:18:03.140512,2026-04-30T02:04:30.279914,SL_HIT,100,2,0.187911,0.2609875,-22.97044877628239,-22.97044877628239,LOSS,2.7742053894444445,55,WEAK
GWEIUSDT,LONG,0.09305,0.09374,2026-04-29T22:17:25.722019,2026-04-30T02:19:37.775827,MAX_HOLD,100,2,0.083745,0.11631249999999999,1.4830736163353253,1.4830736163353253,WIN,4.036681613333333,66,WEAK
NOMUSDT,LONG,0.003045,0.003017,2026-04-29T22:32:30.191772,2026-04-30T02:34:47.829345,MAX_HOLD,100,2,0.0027405,0.0038062499999999997,-1.8390804597701027,-1.8390804597701027,LOSS,4.038232659166667,56,WEAK
AIOTUSDT,LONG,0.12159,0.1237,2026-04-29T23:02:49.883915,2026-04-30T03:05:03.792736,MAX_HOLD,100,2,0.109431,0.1519875,3.47068015461798,3.47068015461798,WIN,4.037196894722222,64,WEAK
OPENUSDT,LONG,0.279,0.2805,2026-04-29T23:17:58.526429,2026-04-30T03:20:14.340059,MAX_HOLD,100,2,0.25110000000000005,0.34875,1.075268817204302,1.075268817204302,WIN,4.037726008333333,57,WEAK
ZEREBROUSDT,LONG,0.025675,0.026011,2026-04-29T23:33:08.048185,2026-04-30T03:35:21.489162,MAX_HOLD,100,2,0.0231075,0.03209375,2.61733203505355,2.61733203505355,WIN,4.037066938055555,57,WEAK
SKYAIUSDT,LONG,0.24955,0.26764,2026-04-30T00:03:25.568030,2026-04-30T04:05:36.391227,MAX_HOLD,100,2,0.224595,0.3119375,14.498096573832894,14.498096573832894,WIN,4.036339776944445,55,WEAK
TACUSDT,LONG,0.01729,0.015224,2026-04-30T00:18:37.200005,2026-04-30T04:20:45.381172,SL_HIT,100,2,0.015561,0.0216125,-23.898207056101796,-23.898207056101796,LOSS,4.0356058797222225,56,WEAK
ARBUSDT,LONG,0.1255,0.1284,2026-04-30T04:36:30.315056,2026-04-30T08:38:22.419337,MAX_HOLD,100,2,0.11295000000000001,0.156875,4.621513944223085,4.621513944223085,WIN,4.0311400780555555,79,VALID
ZEREBROUSDT,LONG,0.026228,0.030315,2026-04-30T04:36:33.794733,2026-04-30T08:38:22.902812,MAX_HOLD,100,2,0.023605200000000003,0.032785,31.165166997102332,31.165166997102332,WIN,4.030307799722222,67,WEAK
NAORISUSDT,LONG,0.11434,0.13609,2026-04-30T04:51:39.946214,2026-04-30T08:53:31.320634,MAX_HOLD,100,2,0.102906,0.142925,38.044428896274255,38.044428896274255,WIN,4.030937338888889,57,WEAK
SOLVUSDT,LONG,0.004922,0.004905,2026-04-30T05:06:43.619356,2026-04-30T09:08:38.199672,MAX_HOLD,100,2,0.0044298,0.0061525,-0.6907761072734873,-0.6907761072734873,LOSS,4.031827865555555,57,WEAK
UBUSDT,LONG,0.06458,0.0658,2026-04-30T05:06:45.299282,2026-04-30T09:08:38.204201,MAX_HOLD,100,2,0.058122,0.08072499999999999,3.7782595230721547,3.7782595230721547,WIN,4.0313624775,60,WEAK
SKYAIUSDT,LONG,0.26617,0.30428,2026-04-30T05:37:01.076591,2026-04-30T09:38:54.190873,MAX_HOLD,100,2,0.23955300000000002,0.3327125,28.635834241274356,28.635834241274356,WIN,4.031420633888889,66,WEAK
TACUSDT,LONG,0.015995,0.015936,2026-04-30T06:22:20.412065,2026-04-30T10:24:18.666782,MAX_HOLD,100,2,0.014395499999999999,0.019993749999999998,-0.7377305407939985,-0.7377305407939985,LOSS,4.0328485325,55,WEAK
ZEREBROUSDT,LONG,0.029935,0.026142,2026-04-30T09:08:43.619517,2026-04-30T10:39:27.278931,SL_HIT,100,2,0.0269415,0.03741875,-25.34157340905296,-25.34157340905296,LOSS,1.512127615,62,WEAK
ARBUSDT,LONG,0.1284,0.1246,2026-04-30T08:38:25.668751,2026-04-30T12:40:26.422106,MAX_HOLD,100,2,0.11556,0.16049999999999998,-5.919003115264773,-5.919003115264773,LOSS,4.0335425986111115,57,WEAK
SWARMSUSDT,LONG,0.026035,0.024521,2026-04-30T08:38:26.669387,2026-04-30T12:40:26.973952,MAX_HOLD,100,2,0.0234315,0.032543749999999996,-11.630497407336263,-11.630497407336263,LOSS,4.033417934722222,61,WEAK
INTCUSDT,SHORT,96.42,96.46,2026-04-30T09:38:57.857628,2026-04-30T13:40:56.395473,MAX_HOLD,100,2,106.06200000000001,72.315,-0.08297033810411127,-0.08297033810411127,LOSS,4.032927179166667,79,VALID
